"batch_id","run_id","jcm","ccrs_mode","file","line","action_type","target","outcome"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2700","move_attempt","http://127.0.1.1:8080/cells/27/11","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2701","move_post","http://127.0.1.1:8080/cells/27/11","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2702","move","http://127.0.1.1:8080/cells/27/11","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2715","move_attempt","http://127.0.1.1:8080/cells/28/11","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2716","move_post","http://127.0.1.1:8080/cells/28/11","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2717","move","http://127.0.1.1:8080/cells/28/11","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2732","move_attempt","http://127.0.1.1:8080/cells/28/12","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2733","move_post","http://127.0.1.1:8080/cells/28/12","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2734","move","http://127.0.1.1:8080/cells/28/12","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2747","move_attempt","http://127.0.1.1:8080/cells/28/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2748","move_post","http://127.0.1.1:8080/cells/28/13","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2749","move","http://127.0.1.1:8080/cells/28/13","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2762","move_attempt","http://127.0.1.1:8080/cells/28/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2763","move_post","http://127.0.1.1:8080/cells/28/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2764","move","http://127.0.1.1:8080/cells/28/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2777","move_attempt","http://127.0.1.1:8080/cells/28/15","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2778","move_post","http://127.0.1.1:8080/cells/28/15","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2779","move","http://127.0.1.1:8080/cells/28/15","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2794","move_attempt","http://127.0.1.1:8080/cells/27/15","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2795","move_post","http://127.0.1.1:8080/cells/27/15","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2796","move","http://127.0.1.1:8080/cells/27/15","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2811","move_attempt","http://127.0.1.1:8080/cells/26/15","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2812","move_post","http://127.0.1.1:8080/cells/26/15","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2813","move","http://127.0.1.1:8080/cells/26/15","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2826","move_attempt","http://127.0.1.1:8080/cells/26/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2827","move_post","http://127.0.1.1:8080/cells/26/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2828","move","http://127.0.1.1:8080/cells/26/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2843","move_attempt","http://127.0.1.1:8080/cells/25/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2844","move_post","http://127.0.1.1:8080/cells/25/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2845","move","http://127.0.1.1:8080/cells/25/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2858","move_attempt","http://127.0.1.1:8080/cells/24/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2859","move_post","http://127.0.1.1:8080/cells/24/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2860","move","http://127.0.1.1:8080/cells/24/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2875","move_attempt","http://127.0.1.1:8080/cells/23/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2876","move_post","http://127.0.1.1:8080/cells/23/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2877","move","http://127.0.1.1:8080/cells/23/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2890","move_attempt","http://127.0.1.1:8080/cells/22/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2891","move_post","http://127.0.1.1:8080/cells/22/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2892","move","http://127.0.1.1:8080/cells/22/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2907","move_attempt","http://127.0.1.1:8080/cells/22/15","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2908","move_post","http://127.0.1.1:8080/cells/22/15","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2909","move","http://127.0.1.1:8080/cells/22/15","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2919","backtrack","http://127.0.1.1:8080/cells/22/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2920","move_attempt","http://127.0.1.1:8080/cells/22/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2921","move_post","http://127.0.1.1:8080/cells/22/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2922","move","http://127.0.1.1:8080/cells/22/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2936","move_attempt","http://127.0.1.1:8080/cells/22/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2937","move_post","http://127.0.1.1:8080/cells/22/13","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2938","move","http://127.0.1.1:8080/cells/22/13","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2951","move_attempt","http://127.0.1.1:8080/cells/22/12","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2952","move_post","http://127.0.1.1:8080/cells/22/12","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2953","move","http://127.0.1.1:8080/cells/22/12","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2963","backtrack","http://127.0.1.1:8080/cells/22/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2964","move_attempt","http://127.0.1.1:8080/cells/22/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2965","move_post","http://127.0.1.1:8080/cells/22/13","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2966","move","http://127.0.1.1:8080/cells/22/13","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2977","backtrack","http://127.0.1.1:8080/cells/22/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2978","move_attempt","http://127.0.1.1:8080/cells/22/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2979","move_post","http://127.0.1.1:8080/cells/22/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2980","move","http://127.0.1.1:8080/cells/22/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2993","backtrack","http://127.0.1.1:8080/cells/23/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2994","move_attempt","http://127.0.1.1:8080/cells/23/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2995","move_post","http://127.0.1.1:8080/cells/23/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2996","move","http://127.0.1.1:8080/cells/23/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3007","backtrack","http://127.0.1.1:8080/cells/24/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3008","move_attempt","http://127.0.1.1:8080/cells/24/14","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3009","move_post","http://127.0.1.1:8080/cells/24/14","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3010","move","http://127.0.1.1:8080/cells/24/14","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3024","move_attempt","http://127.0.1.1:8080/cells/24/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3025","move_post","http://127.0.1.1:8080/cells/24/13","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3026","move","http://127.0.1.1:8080/cells/24/13","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3039","move_attempt","http://127.0.1.1:8080/cells/24/12","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3040","move_post","http://127.0.1.1:8080/cells/24/12","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3041","move","http://127.0.1.1:8080/cells/24/12","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3051","backtrack","http://127.0.1.1:8080/cells/24/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3052","move_attempt","http://127.0.1.1:8080/cells/24/13","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","3053","move_post","http://127.0.1.1:8080/cells/24/13","requested"
