"batch_id","run_id","jcm","ccrs_mode","source","file","line","selected_uri","selected_original_index","selected_has_ccrs","selected_reordered","selected_origin","selected_type","selected_utility","options_count","matched_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1280","http://127.0.1.1:8080/cells/14/5","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1302","http://127.0.1.1:8080/cells/15/5","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1328","http://127.0.1.1:8080/cells/15/6","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1350","http://127.0.1.1:8080/cells/15/7","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1372","http://127.0.1.1:8080/cells/15/8","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1396","http://127.0.1.1:8080/cells/16/8","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1418","http://127.0.1.1:8080/cells/17/8","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1444","http://127.0.1.1:8080/cells/18/8","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1466","http://127.0.1.1:8080/cells/18/9","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1488","http://127.0.1.1:8080/cells/19/9","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
