"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","82","mas-0.log","2769","2769","51107349","136","http://127.0.1.1:8080/cells/33/25","http://127.0.1.1:8080/cells/33/24","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","83","mas-0.log","2793","2793","51107475","126","http://127.0.1.1:8080/cells/33/24","http://127.0.1.1:8080/cells/32/24","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","84","mas-0.log","2817","2817","51107610","135","http://127.0.1.1:8080/cells/32/24","http://127.0.1.1:8080/cells/31/24","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","85","mas-0.log","2841","2841","51107744","134","http://127.0.1.1:8080/cells/31/24","http://127.0.1.1:8080/cells/31/25","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","86","mas-0.log","2865","2865","51107874","130","http://127.0.1.1:8080/cells/31/25","http://127.0.1.1:8080/cells/31/26","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","87","mas-0.log","2889","2889","51107999","125","http://127.0.1.1:8080/cells/31/26","http://127.0.1.1:8080/cells/31/27","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","88","mas-0.log","2913","2913","51108126","127","http://127.0.1.1:8080/cells/31/27","http://127.0.1.1:8080/cells/31/28","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","89","mas-0.log","2940","2940","51108247","121","http://127.0.1.1:8080/cells/31/28","http://127.0.1.1:8080/cells/31/29","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","90","mas-0.log","2965","2965","51108379","132","http://127.0.1.1:8080/cells/31/29","http://127.0.1.1:8080/cells/31/30","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","91","mas-0.log","2989","2989","51108498","119","http://127.0.1.1:8080/cells/31/30","http://127.0.1.1:8080/cells/32/30","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","92","mas-0.log","3016","3016","51108617","119","http://127.0.1.1:8080/cells/32/30","http://127.0.1.1:8080/cells/33/30","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","93","mas-0.log","3041","3041","51108748","131","http://127.0.1.1:8080/cells/33/30","http://127.0.1.1:8080/cells/33/31","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","94","mas-0.log","3065","3065","51108880","132","http://127.0.1.1:8080/cells/33/31","http://127.0.1.1:8080/cells/33/32","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","95","mas-0.log","3092","3092","51109003","123","http://127.0.1.1:8080/cells/33/32","http://127.0.1.1:8080/cells/33/33","3","0"
